,AGOP,PCA,MI,SHAP
cat__Neighborhood_Sawyer,0.028251149,3.080616813605559e-05,0.010676551768939113,160.87336695562232
cat__FireplaceQu_Gd,0.028013913,0.00022006004848209318,0.06835945306453817,387.98253383633005
cat__Exterior1st_VinylSd,0.0279565,0.0009807176163707416,0.086158895485134,409.83203032248866
cat__Electrical_FuseA,0.026967725,0.00030495671584344203,0.022086736140593866,122.3320169449203
cat__Exterior1st_WdShing,0.026877563,2.3060902879066897e-05,0.0,36.243136540382146
cat__MasVnrType_BrkFace,0.026853723,0.00028673166536553424,0.04157621798324995,201.1582134346462
cat__HouseStyle_2Story,0.026736274,0.00020631597764755248,0.05294585665143825,449.28922165739095
cat__CentralAir_N,0.026413703,0.000685197659408208,0.07157104316317797,137.8948528110732
cat__CentralAir_Y,0.026413629,0.000685197659408208,0.06712942348338924,138.26753009061068
cat__PavedDrive_N,0.0259658,0.00048822308572784076,0.03448222537006984,147.64039108875602
cat__LotShape_IR1,0.025908576,0.0001956218224082807,0.05101062817959834,170.827781767266
cat__Fence_GdWo,0.02468627,5.293977488600318e-05,0.011032452793094949,40.48930167308816
cat__PavedDrive_Y,0.024314892,0.0005602186737115358,0.021896631614961137,181.1186193635847
cat__Neighborhood_CollgCr,0.024265612,0.00022379681881051696,0.045441520285263826,228.5375262378713
cat__SaleCondition_Normal,0.023817018,0.00011790966218719058,0.013089133251910967,153.00015204052545
cat__BldgType_TwnhsE,0.02322272,0.00010358573626155858,0.0041321956465059095,210.1578948701486
cat__BsmtExposure_Av,0.022779,0.00022497718044440699,0.03371549717650102,137.0921995933215
cat__Exterior1st_HdBoard,0.022721646,9.664570707463686e-06,0.02989419011497807,296.1373082013414
cat__Neighborhood_MeadowV,0.02258888,7.93386671290956e-06,0.015023379173585205,23.386775167665537
cat__BsmtFinType2_BLQ,0.022389319,5.828634327001465e-06,0.002018868571186827,51.30706428367623
cat__Functional_Mod,0.02230488,2.5716504632066256e-05,0.0,5.316085206192929
cat__Exterior2nd_VinylSd,0.020522952,0.0009675942747627021,0.09002447310968953,416.22477602383015
cat__LandSlope_Mod,0.020331485,8.808226695141514e-06,0.018444717699324542,102.83696912457165
cat__MSSubClass_50,0.020209594,0.00033835321009012954,0.04482473062947778,196.245415614298
cat__Neighborhood_Mitchel,0.019826492,9.460068291800827e-07,0.012850922606193027,55.0817773972601
cat__RoofStyle_Hip,0.019315226,6.721156845787997e-05,0.010156195548175484,213.6680119149542
