,AGOP,PCA,MI,SHAP
cat__RoofMatl_Roll,6.525804e-05,3.489726010861102e-06,0.0,0.0
cat__Heating_OthW,6.0295675e-05,2.249844217543562e-05,0.0,0.0
cat__Heating_Wall,5.951079e-05,3.654365722937331e-05,0.0,0.12331298159247478
cat__PoolQC_Fa,4.659167e-05,8.982746260999015e-07,0.0,0.8030482662673963
cat__RoofMatl_WdShake,3.8590955e-05,1.8028353081971235e-06,0.0,0.10663900185502921
cat__MiscFeature_Othr,2.623454e-05,2.3549001170719654e-05,0.0,0.06721634203767442
cat__MiscFeature_TenC,2.5225349e-05,1.3621781381194231e-06,0.007643508288083134,0.0
cat__Exterior1st_ImStucc,1.9951864e-05,2.4173217530665105e-06,0.007541714937498778,0.0
cat__PoolQC_Gd,8.484554e-06,1.6889346339748964e-05,0.0005831907450051244,0.00948710402397526
cat__RoofMatl_ClyTile,8.484554e-06,2.902991488754392e-05,0.0,0.0
cat__Condition2_RRAe,3.936572e-06,1.5901128631712943e-07,0.0,0.0
cat__MiscFeature_Gar2,3.936572e-06,1.5901128631712943e-07,0.0,0.06451883561643809
cat__BsmtCond_Po,2e-08,1.4648595943193371e-05,0.0,0.002366384845892803
cat__Exterior2nd_Other,2e-08,8.022530827060483e-06,0.00560274951739026,0.0
cat__ExterCond_Po,2e-08,7.109084757187526e-06,0.0,0.0
