,AGOP,PCA,MI,SHAP,Perm
cat__Exterior2nd_CmentBd,0.04241522,4.864973909838685e-05,0.0178829428858089,109.87509282248816,5768878.4
num__WoodDeckSF,0.042402055,0.0003280068166747,0.0922447560494701,434.1811517016267,16893040.0
cat__LotShape_IR2,0.042259365,3.0449205779623477e-05,0.0127095217620083,96.26304682148948,1164072.0
num__MiscVal,0.041757986,1.1348136633434873e-05,0.0010319726334626,173.36604459189516,6298081.6
cat__SaleCondition_Family,0.0387392,3.774099424122895e-06,0.0,44.23778174942935,424574.4
cat__Exterior1st_CemntBd,0.037778545,4.679172468644104e-05,0.0314349216431599,108.98906810074205,5697246.4
cat__Exterior2nd_Plywood,0.036257144,9.818076750023598e-06,0.0218413748444632,155.17850351384115,3244387.2
cat__ExterQual_Gd,0.035994783,0.0013199056968365,0.2101116869787955,321.625617223174,8247238.4
cat__MSSubClass_60,0.03458642,0.0006626767674108,0.1264686482093797,383.8539564604742,5023348.8
cat__Neighborhood_BrkSide,0.03452036,0.0002080993769033,0.0292644583716326,111.492982305936,717691.2
cat__HouseStyle_1Story,0.03436786,7.69662700594481e-06,0.0156008292306122,260.6649449736016,2220816.0
cat__Exterior2nd_Stucco,0.034082547,3.716285897317723e-05,0.0035393165536563,30.17739690353855,276371.2
cat__ExterCond_Gd,0.03397845,5.946870887197028e-05,0.0104526447708142,308.7848885380995,1149683.2
cat__RoofStyle_Gable,0.033336226,3.7162492917490354e-05,0.0330366666771004,213.72596050941792,939219.2
num__LowQualFinSF,0.032466233,4.557254570078741e-05,0.0,51.76043214897236,9691867.2
cat__LandSlope_Gtl,0.03206598,9.154475632745992e-06,0.01309620460829,146.99464861586753,729824.0
cat__Fence_None,0.030880215,0.0001807237139037,0.0321449692958524,211.31267908105,1588163.2
cat__BsmtFinType1_ALQ,0.029917194,3.5204677361954955e-05,0.041702746831667,227.0473222031967,4047032.0
cat__ExterCond_TA,0.0288321,0.0001801419252582,0.0046262224989686,311.354179830194,1463337.6
cat__Neighborhood_Sawyer,0.028251149,3.080616813605559e-05,0.0106765517689391,160.87336695562232,1228377.6
cat__FireplaceQu_Gd,0.028013913,0.000220060048482,0.0683594530645381,387.9825338363301,5297094.4
cat__Exterior1st_VinylSd,0.0279565,0.0009807176163707,0.086158895485134,409.8320303224887,8437672.0
cat__Electrical_FuseA,0.026967725,0.0003049567158434,0.0220867361405938,122.3320169449203,604505.6
cat__Exterior1st_WdShing,0.026877563,2.3060902879066897e-05,0.0,36.24313654038215,242726.4
cat__MasVnrType_BrkFace,0.026853723,0.0002867316653655,0.0415762179832499,201.1582134346462,8368211.2
cat__HouseStyle_2Story,0.026736274,0.0002063159776475,0.0529458566514382,449.28922165739095,5909436.8
cat__CentralAir_N,0.026413703,0.0006851976594082,0.0715710431631779,137.8948528110732,1172187.2
cat__CentralAir_Y,0.026413629,0.0006851976594082,0.0671294234833892,138.26753009061068,1172126.4
cat__PavedDrive_N,0.0259658,0.0004882230857278,0.0344822253700698,147.64039108875602,606120.0
cat__LotShape_IR1,0.025908576,0.0001956218224082,0.0510106281795983,170.827781767266,2937224.0
cat__Fence_GdWo,0.02468627,5.293977488600318e-05,0.0110324527930949,40.48930167308816,316216.0
cat__PavedDrive_Y,0.024314892,0.0005602186737115,0.0218966316149611,181.1186193635847,1295817.6
cat__Neighborhood_CollgCr,0.024265612,0.0002237968188105,0.0454415202852638,228.5375262378713,2918488.0
cat__SaleCondition_Normal,0.023817018,0.0001179096621871,0.0130891332519109,153.00015204052545,5387940.8
cat__BldgType_TwnhsE,0.02322272,0.0001035857362615,0.0041321956465059,210.1578948701486,1636860.8
